Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,484.43,2768.0,3190.0,39,20,104.04,0.888,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x002560_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,500.59,3584.0,3112.0,29,28,96.53,0.854,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x003072_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,235.1,3591.0,3112.0,15,27,72.38,0.877,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x003584_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,487.13,4366.0,2732.0,27,29,95.11,0.948,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x004096_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,375.93,12556.0,3104.0,25,25,83.7,0.954,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x012288_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,520.6,13052.0,2722.0,28,31,97.01,0.882,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x012800_y002560
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,961.17,2768.0,3198.0,39,39,132.08,0.884,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x002560_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,404.4,2886.0,3586.0,26,25,85.7,0.61,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x002560_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,501.75,3584.0,3112.0,29,28,95.94,0.857,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x003072_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,578.32,3791.0,3345.0,31,30,103.36,0.912,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x003584_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,235.48,3591.0,3112.0,15,27,72.97,0.878,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x003584_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,506.37,6696.0,3463.0,29,29,96.77,0.958,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x006144_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,506.37,6696.0,3463.0,29,29,96.77,0.958,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x006656_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,454.81,11729.0,3654.0,27,27,91.11,0.961,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x011264_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,375.16,12556.0,3104.0,25,25,83.7,0.956,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x012288_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,529.07,14331.0,3297.0,28,31,98.18,0.956,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x013824_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,133.9,14340.0,3296.0,10,28,63.8,0.929,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x014336_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,459.04,15476.0,3356.0,24,29,94.38,0.935,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x014848_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,546.38,15477.0,3356.0,31,29,99.6,0.954,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x015360_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,303.97,17016.0,3523.0,16,30,82.14,0.906,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x016384_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,499.06,17020.0,3523.0,27,30,96.53,0.955,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x016896_y003072
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,422.1,6830.0,3779.0,26,27,88.53,0.96,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x006656_y003584
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,554.85,8131.0,3876.0,30,30,99.6,0.967,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x007680_y003584
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,454.42,11729.0,3654.0,27,27,90.53,0.961,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x011264_y003584
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,589.09,14727.0,4002.0,31,31,104.18,0.963,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x014336_y003584
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,557.16,15860.0,4030.0,31,30,100.43,0.959,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x015360_y003584
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,404.02,5105.0,4725.0,30,21,90.97,0.939,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x004608_y004096
Unknown_Sample,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox.czi,Cal_chi,613.72,6640.0,4415.0,31,33,107.01,0.962,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_x006144_y004096
