Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,460.96,4582.0,576.0,29,27,92.77,0.953,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004096_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,595.25,4282.0,626.0,34,28,108.87,0.919,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004096_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,539.84,4785.0,531.0,31,29,99.01,0.953,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,545.61,5208.0,370.0,30,30,100.77,0.951,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,526.37,4968.0,491.0,29,30,97.6,0.951,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,310.51,5239.0,415.0,17,29,81.56,0.898,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,497.9,5505.0,586.0,28,29,94.77,0.955,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,554.85,5431.0,558.0,30,30,100.77,0.953,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,546.77,5245.0,415.0,30,29,99.36,0.951,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,545.61,5208.0,370.0,30,30,100.77,0.95,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,573.32,5561.0,593.0,31,31,102.43,0.947,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,229.33,5726.0,579.0,19,20,64.63,0.931,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005120_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,509.83,6048.0,464.0,29,29,96.18,0.957,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005632_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,551.39,5829.0,438.0,30,31,99.84,0.956,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005632_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,599.87,5943.0,597.0,32,31,102.67,0.954,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005632_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,222.4,5726.0,580.0,19,19,63.8,0.93,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005632_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,662.97,6240.0,304.0,34,32,109.84,0.892,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x005632_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,520.22,6629.0,600.0,30,29,97.6,0.955,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006144_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,544.46,6407.0,521.0,29,31,100.18,0.951,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006144_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,667.2,6240.0,304.0,34,32,109.25,0.903,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006144_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,146.6,6404.0,634.0,27,10,63.56,0.858,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006144_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,653.35,7203.0,559.0,32,34,110.43,0.956,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006656_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,567.93,6834.0,376.0,31,30,101.6,0.95,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006656_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,202.39,6803.0,633.0,28,13,70.97,0.887,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x006656_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,661.82,7203.0,559.0,32,34,110.43,0.951,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x007168_y000000
Unknown_Sample,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox.czi,Gen_alg,604.48,11363.0,597.0,33,30,105.01,0.952,20260226_214_Gen_Alg_25_7_6_Colorado2025-greenBox_x010752_y000000
