Join_Code,Detections,Original_File,Species,kod kytky + datum,barvivo [μl],na sklíčko [μ],pozn,množství pylu,Cleaned_Code,Collection_Date
Ran_Ado_22/6_5,247,20251031_067_pol_pro_Ran_ado_2025_5_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_5,40.0,5,,,Ran_Ado_22/6_5,2025-06-22
Ran_Ado_22/6_7,32,20251031_069_pol_pro_Ran_ado_2025_7_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_7,40.0,5,bp,,Ran_Ado_22/6_7,2025-06-22
Ran_Ado_22/6_1,1805,20251031_063_pol_pro_Ran_ado_2025_1_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_1,40.0,5,,,Ran_Ado_22/6_1,2025-06-22
Ran_Ado_22/6_3,15335,20251031_065_pol_pro_Ran_ado_2025_3_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_3,40.0,5,,,Ran_Ado_22/6_3,2025-06-22
Ran_Ado_22/6_2,195,20251031_064_pol_pro_Ran_ado_2025_2_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_2,40.0,5,bp,,Ran_Ado_22/6_2,2025-06-22
Ran_Ado_22/6_6,2582,20251031_068_pol_pro_Ran_ado_2025_6_Colorado2025_details.csv,Ran_ado,Ran_Ado_22/6_6,40.0,5,bp,,Ran_Ado_22/6_6,2025-06-22
cal_chi_23_6_3,4,20260226_202_Cal_Chi_23_6_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_23/6_3,30.0,5,bp,,Cal_Chi_23/6_3,2025-06-23
cal_chi_23_6_2,242,20260226_201_Cal_Chi_23_6_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_23/6_2,30.0,5,,,Cal_Chi_23/6_2,2025-06-23
Ran_Ado_24/6_4,3202,20251031_072_pol_pro_Ran_ado_2025_10_Colorado2025_details.csv,Ran_ado,Ran_Ado_24/6_4,40.0,5,bp,,Ran_Ado_24/6_4,2025-06-24
Ran_Ado_24/6_5,679,20251031_073_pol_pro_Ran_ado_2025_11_Colorado2025_details.csv,Ran_ado,Ran_Ado_24/6_5,40.0,5,bp,,Ran_Ado_24/6_5,2025-06-24
Ran_Ado_24/6_3,164,20251031_071_pol_pro_Ran_ado_2025_9_Colorado2025_details.csv,Ran_ado,Ran_Ado_24/6_3,40.0,5,bp,,Ran_Ado_24/6_3,2025-06-24
Ran_Ado_24/6_6,4503,20251031_074_pol_pro_Ran_ado_2025_12_Colorado2025_details.csv,Ran_ado,Ran_Ado_24/6_6,40.0,5,bp.,,Ran_Ado_24/6_6,2025-06-24
Ran_Ado_24/6_2,4613,20251031_070_pol_pro_Ran_ado_2025_8_Colorado2025_details.csv,Ran_ado,Ran_Ado_24/6_2,40.0,5,mp,,Ran_Ado_24/6_2,2025-06-24
cal_chi_25_6_5,39,20260224_046_Cal_Chi_25_6_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_25/6_5,30.0,5,mp,,Cal_Chi_25/6_5,2025-06-25
cal_chi_25_6_4,3,20260224_045_Cal_Chi_25_6_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_25/6_4,30.0,5,bp,,Cal_Chi_25/6_4,2025-06-25
cal_chi_25_6_3,12,20260224_044_Cal_Chi_25_6_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_25/6_3,30.0,5,bp,,Cal_Chi_25/6_3,2025-06-25
Ran_Ado_26/6_2,59,20251031_076_pol_pro_Ran_ado_2025_14_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_2,40.0,10,mp,,Ran_Ado_26/6_2,2025-06-26
Ran_Ado_26/6_4,1332,20251031_078_pol_pro_Ran_ado_2025_16_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_4,40.0,10,mp,,Ran_Ado_26/6_4,2025-06-26
Ran_Ado_26/6_5,3238,20251031_079_pol_pro_Ran_ado_2025_17_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_5,40.0,5,bp,,Ran_Ado_26/6_5,2025-06-26
Ran_Ado_26/6_1,2,20251031_075_pol_pro_Ran_ado_2025_13_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_1,40.0,10,bez pylu,,Ran_Ado_26/6_1,2025-06-26
Ran_Ado_26/6_3,1586,20251031_077_pol_pro_Ran_ado_2025_15_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_3,40.0,10,mp,,Ran_Ado_26/6_3,2025-06-26
Ran_Ado_26/6_6,2,20251031_080_pol_pro_Ran_ado_2025_18_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_6,40.0,5,bp,,Ran_Ado_26/6_6,2025-06-26
cal_chi_27_6_5,8,20260224_081_Cal_Chi_27_6_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_27/6_5,30.0,5,bp,,Cal_Chi_27/6_5,2025-06-27
cal_chi_27_6_6,1,20260224_082_Cal_Chi_27_6_6_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_27/6_6,30.0,5,bp,,Cal_Chi_27/6_6,2025-06-27
Ran_Ado_28/6_3,4560,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_3,40.0,5,,,Ran_Ado_28/6_3,2025-06-28
Ran_Ado_28/6_6,2013,20251031_086_pol_pro_Ran_ado_2025_24_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_6,40.0,5,,,Ran_Ado_28/6_6,2025-06-28
Ran_Ado_28/6_4,18602,20251031_084_pol_pro_Ran_ado_2025_22_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_4,40.0,5,,,Ran_Ado_28/6_4,2025-06-28
Ran_Ado_28/6_1,4491,20251031_081_pol_pro_Ran_ado_2025_19_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_1,40.0,10,bez pylu,,Ran_Ado_28/6_1,2025-06-28
Ran_Ado_28/6_5,2157,20251031_085_pol_pro_Ran_ado_2025_23_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_5,40.0,5,,,Ran_Ado_28/6_5,2025-06-28
Ran_Ado_28/6_2,1421,20251031_082_pol_pro_Ran_ado_2025_20_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_2,40.0,,na,,Ran_Ado_28/6_2,2025-06-28
cal_chi_29_6_5,930,20260224_035_Cal_Chi_29_6_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_5,30.0,5,,,Cal_Chi_29/6_5,2025-06-29
cal_chi_29_6_3,222,20260224_033_Cal_Chi_29_6_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_3,30.0,5,,,Cal_Chi_29/6_3,2025-06-29
cal_chi_29_6_1,1378,20260224_031_Cal_Chi_29_6_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_1,30.0,5,,,Cal_Chi_29/6_1,2025-06-29
cal_chi_29_6_2,1209,20260224_032_Cal_Chi_29_6_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_2,30.0,5,,,Cal_Chi_29/6_2,2025-06-29
cal_chi_29_6_4,3,20260224_034_Cal_Chi_29_6_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_4,30.0,5,bp,,Cal_Chi_29/6_4,2025-06-29
Ran_Ado_30/6_1,6689,20251031_087_pol_pro_Ran_ado_2025_25_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_1,30.0,5,bp,,Ran_Ado_30/6_1,2025-06-30
Ran_Ado_30/6_2,2104,20251031_088_pol_pro_Ran_ado_2025_26_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_2,30.0,5,,,Ran_Ado_30/6_2,2025-06-30
Ran_Ado_30/6_3,11711,20251031_089_pol_pro_Ran_ado_2025_27_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_3,30.0,5,bp,,Ran_Ado_30/6_3,2025-06-30
cal_chi_1_7_1,267,20260224_047_Cal_Chi_1_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_1/7_1,30.0,5,,,Cal_Chi_1/7_1,2025-07-01
Ran_Ado_2/7_2,848,20251031_001_pol_pro_Ran_ado_2025_32_Colorado2025_details.csv,Ran_ado,Ran_Ado_2/7_2,30.0,5,bp,,Ran_Ado_2/7_2,2025-07-02
cal_chi_3_7_4,83,20260224_056_Cal_Chi_3_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_4,30.0,5,bp,,Cal_Chi_3/7_4,2025-07-03
cal_chi_3_7_2,56,20260224_054_Cal_Chi_3_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_2,30.0,5,bp,,Cal_Chi_3/7_2,2025-07-03
cal_chi_3_7_3,9,20260224_055_Cal_Chi_3_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_3,30.0,5,bp,,Cal_Chi_3/7_3,2025-07-03
cal_chi_3_7_1,2118,20260224_053_Cal_Chi_3_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_1,30.0,5,,,Cal_Chi_3/7_1,2025-07-03
cal_chi_5_7_5,54,20260224_099_Cal_Chi_5_7_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_5,30.0,5,mp,,Cal_Chi_5/7_5,2025-07-05
cal_chi_5_7_1,15,20260224_095_Cal_Chi_5_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_1,30.0,5,bp,,Cal_Chi_5/7_1,2025-07-05
cal_chi_5_7_2,444,20260224_096_Cal_Chi_5_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_2,30.0,5,,,Cal_Chi_5/7_2,2025-07-05
cal_chi_5_7_6,209,20260224_100_Cal_Chi_5_7_6_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_6,30.0,5,,,Cal_Chi_5/7_6,2025-07-05
cal_chi_7_7_4,24,20260224_039_Cal_Chi_7_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_4,30.0,5,bp,,Cal_Chi_7/7_4,2025-07-07
cal_chi_7_7_5,21,20260224_040_Cal_Chi_7_7_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_5,30.0,5,bp,,Cal_Chi_7/7_5,2025-07-07
cal_chi_7_7_2,1,20260224_037_Cal_Chi_7_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_2,30.0,5,bp,,Cal_Chi_7/7_2,2025-07-07
cal_chi_7_7_3,7,20260224_038_Cal_Chi_7_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_3,30.0,5,bp,,Cal_Chi_7/7_3,2025-07-07
cal_chi_11_7_6,17,20260224_064_Cal_Chi_11_7_6_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_11/7_6,30.0,5,bp,,Cal_Chi_11/7_6,2025-07-11
cal_chi_11_7_3,10,20260224_061_Cal_Chi_11_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_11/7_3,30.0,5,bp,,Cal_Chi_11/7_3,2025-07-11
cal_chi_11_7_4,18,20260224_062_Cal_Chi_11_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_11/7_4,30.0,5,bp,,Cal_Chi_11/7_4,2025-07-11
cal_chi_13_7_3,25,20260224_091_Cal_Chi_13_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_13/7_3,30.0,5,bp,,Cal_Chi_13/7_3,2025-07-13
cal_chi_13_7_4,3,20260224_092_Cal_Chi_13_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_13/7_4,30.0,5,bp,,Cal_Chi_13/7_4,2025-07-13
cal_chi_17_7_4,3,20260224_086_Cal_Chi_17_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_17/7_4,30.0,5,bp,,Cal_Chi_17/7_4,2025-07-17
gen_alg_22_7_3,15019,20260226_207_Gen_Alg_22_7_3_Colorado2025-greenBox_details.csv,Gen_alg,Gen_Alg_22/7_3,40.0,5,,,Gen_Alg_22/7_3,2025-07-22
gen_alg_22_7_4,16311,20260226_208_Gen_Alg_22_7_4_Colorado2025-greenBox_details.csv,Gen_alg,Gen_Alg_22/7_4,40.0,5,,,Gen_Alg_22/7_4,2025-07-22
