Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,415.17,13540.0,952.0,29,24,88.53,0.945,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x013312_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,447.5,14363.0,1085.0,27,27,90.53,0.903,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x013824_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,545.23,14257.0,1092.0,28,31,102.87,0.875,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x013824_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,469.81,14881.0,1072.0,28,28,93.36,0.948,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,461.73,14803.0,887.0,28,27,91.94,0.946,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,465.2,14763.0,963.0,29,27,93.36,0.94,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,446.34,14607.0,1078.0,28,26,92.28,0.933,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,442.49,14363.0,1085.0,27,27,89.94,0.916,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,183.92,14495.0,1146.0,29,11,68.97,0.865,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014336_y000512
Unknown_Sample,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025.czi,Ran_ado,506.75,15117.0,1086.0,31,28,97.01,0.95,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_x014848_y000512
