Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,203.16,4294.0,195.0,18,18,62.14,0.785,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x004096_y000000
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,176.61,2926.0,762.0,16,18,58.73,0.865,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x002560_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,162.76,3090.0,993.0,17,16,56.73,0.846,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x002560_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,252.8,3588.0,866.0,20,21,69.21,0.913,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x003072_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,186.23,3090.0,993.0,17,18,60.14,0.91,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x003072_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,170.46,3590.0,866.0,14,21,60.73,0.915,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x003584_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,201.62,4216.0,1109.0,15,21,64.49,0.886,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x003584_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,235.48,4585.0,705.0,19,20,66.97,0.948,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x004096_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,284.73,4472.0,946.0,21,22,72.63,0.947,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x004096_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,225.86,4599.0,1019.0,20,19,65.21,0.943,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x004096_y000512
Unknown_Sample,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025.czi,Sed_lan,276.27,4218.0,1109.0,22,21,72.63,0.932,20251031_010_pol_pro_Sed_lan_2025_9_Colorado2025_x004096_y000512
