Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,758.01,4487.0,889.0,33,37,118.43,0.944,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x004096_y000512
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,522.53,5495.0,1141.0,38,21,105.8,0.916,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x005120_y000512
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,781.1,5494.0,1145.0,39,33,123.25,0.933,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x005120_y001024
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,870.75,8988.0,2637.0,42,35,128.33,0.948,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008704_y002048
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,450.19,16114.0,2057.0,38,22,103.11,0.6,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x015872_y002048
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,712.61,2297.0,3023.0,35,34,115.25,0.964,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x002048_y002560
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,870.75,8988.0,2637.0,42,35,128.33,0.949,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008704_y002560
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,851.9,11450.0,2967.0,39,36,124.91,0.96,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x011264_y002560
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,317.06,9629.0,3831.0,25,21,77.46,0.948,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x009216_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,884.99,10231.0,4115.0,38,39,126.57,0.961,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x009728_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,163.53,10244.0,4114.0,10,34,75.21,0.917,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x010240_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,860.75,10891.0,3721.0,37,38,125.5,0.964,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x010752_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,900.38,11942.0,3871.0,37,40,128.91,0.968,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x011776_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,1101.62,11956.0,3758.0,42,43,140.81,0.964,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x011776_y003584
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,628.73,8906.0,4644.0,29,37,108.08,0.954,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008704_y004096
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,984.64,10335.0,4498.0,39,41,133.15,0.966,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x009728_y004096
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,893.45,10231.0,4115.0,38,39,127.74,0.963,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x009728_y004096
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,984.64,10335.0,4498.0,39,41,133.15,0.966,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x010240_y004096
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,164.3,10244.0,4114.0,10,34,75.21,0.917,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x010240_y004096
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,883.83,2204.0,5049.0,36,41,128.33,0.962,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x002048_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,679.13,4446.0,5234.0,37,28,116.04,0.956,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x004096_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,835.35,5363.0,4901.0,35,39,123.5,0.962,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x005120_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,212.78,5267.0,5242.0,36,11,82.38,0.876,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x005120_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,453.27,6505.0,5223.0,31,26,94.77,0.96,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x006144_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,793.79,7228.0,5044.0,36,37,120.33,0.96,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x006656_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,793.79,7228.0,5044.0,36,37,120.33,0.96,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x007168_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,923.46,8665.0,4928.0,40,38,128.57,0.964,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008192_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,171.61,8425.0,4744.0,20,17,60.63,0.847,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008192_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,627.96,8906.0,4644.0,29,37,108.08,0.954,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x008704_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,839.58,9444.0,4842.0,40,36,126.57,0.954,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x009216_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,858.82,10716.0,5060.0,37,38,124.91,0.961,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x010240_y004608
Unknown_Sample,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025.czi,Vio_adu,360.15,2066.0,5308.0,26,26,87.11,0.926,20251031_036_pol_pro_Vio_adu_2025_5_Colorado2025_x001536_y005120
