epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,466.86,0.35417,0.96712,0.99978,0.09345,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284,0.00999852,0.00333284
2,853.69,0.1395,0.9805,0.99981,0.05543,0.0198005,0.00660018,0.0198005,0.00660018,0.0198005,0.00660018,0.0198005,0.00660018
3,1186.17,0.1365,0.98196,0.99985,0.05292,0.0294045,0.00980152,0.0294045,0.00980152,0.0294045,0.00980152,0.0294045,0.00980152
4,1500.91,0.13612,0.98096,0.99972,0.05292,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1812.8,0.1226,0.98156,0.99974,0.05202,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2113.3,0.11733,0.98141,0.99985,0.05137,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2410.72,0.11627,0.98124,0.99994,0.05192,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2710.92,0.11383,0.98087,0.99996,0.05251,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3012.45,0.11123,0.9808,0.99996,0.05332,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3314.2,0.10992,0.98078,0.99996,0.05348,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3620.79,0.10754,0.98124,0.99996,0.05261,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3922.92,0.10687,0.98146,0.99998,0.05162,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4230.49,0.10501,0.9818,0.99998,0.05087,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4545.69,0.10405,0.98224,0.99998,0.04943,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4852.86,0.10083,0.98298,0.99998,0.04768,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
