species_code,class_id
All_gey,0
Geu_ros,1
Cas_occ,2
Dry_oct,3
Llo_ser,4
Pot_div,5
Dod_pul,6
Bis_bis,7
Lew_pyg,8
Phl_pul,9
Min_obt,10
Are_fen,11
Hym_gra,12
Tet_aca,13
Sil_aca,14
Tri_das,15
Sax_rho,16
Eri_cap,17
Mer_twi,18
Cal_chi,19
Ped_par,20
Ped_gro,21
Vac_cae,22
Sed_lan,23
Ran_ado,24
Aqu_col,25
Vio_adu,26
Mer_cil,27
Ver_wor,28
Ach_mil,29
Cam_uni,30
Cer_arv,31
Pen_whi,32
Eri_gal,33
Pac_cro,34
Sol_sim,35
Cam_rot,36
Rho_rho,37
Ste_lon,38
Arn_mol,39
Gen_alg,40
Gen_ama,41
Sib_pro,42
Lig_ten,43
Swe_per,44
