CZI_File,Locality,Species,Confidence,Center_X_px,Center_Y_px,Area_um2,Perimeter_um,Circularity,Aspect_Ratio,BoundingBox_Width_um,BoundingBox_Height_um,Suitable_For_Volume
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.968,11748.1,13594.7,4209.46,244.39,0.886,0.921,71.93,78.07,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9623,7071.0,10441.6,8066.85,344.08,0.856,0.92,100.88,109.66,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9614,8285.9,13879.0,3706.92,261.86,0.679,0.478,48.25,100.88,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9611,10173.6,11885.0,8054.15,337.45,0.889,1.035,104.39,100.88,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9606,6897.0,7444.8,8616.3,348.8,0.89,0.983,103.51,105.27,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9605,8113.9,12340.0,5675.45,322.6,0.685,0.96,84.22,87.72,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9603,10370.1,11525.6,8351.95,344.3,0.885,0.967,103.51,107.02,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.96,7521.8,10234.4,8345.8,339.94,0.908,0.966,100.88,104.39,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9598,9631.1,11425.2,7486.59,327.74,0.876,1.0,98.25,98.25,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9591,10962.7,11044.1,7973.34,339.93,0.867,0.975,100.88,103.51,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.959,9764.1,10498.9,7411.2,324.53,0.884,0.982,96.5,98.25,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9582,10268.4,11351.3,2723.04,237.51,0.607,0.431,41.23,95.62,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9581,6096.1,10063.6,8233.06,343.96,0.874,0.983,102.64,104.39,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.958,7493.8,11518.8,7460.06,324.45,0.891,1.027,100.01,97.37,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.958,6847.4,11156.4,7528.92,325.68,0.892,1.009,99.13,98.25,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9579,8574.3,10437.3,7605.89,330.53,0.875,0.991,100.01,100.88,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9571,7346.3,11215.7,7615.89,334.89,0.853,1.053,104.39,99.13,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9569,7631.3,12042.3,7605.89,326.71,0.895,1.009,100.01,99.13,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9568,9618.4,9778.7,6941.38,321.66,0.843,1.055,100.88,95.62,True
